"id","x_avg","y_avg","z_avg","vb_avg","x_stddev","y_stddev","z_stddev","vb_stddev","x_var","y_var","z_var","vb_var","x_rms","y_rms","z_rms","vb_rms"
"3","136.157","163.429","272.482","-0.04797","9.80301","12.0252","14.5623","1.19475","96.0991","144.605","212.06","1.42742","31.365","37.45","46.885","3.5109"
"1","100.878","147.925","261.842","-0.01499","10.5597","10.8922","14.8827","1.59856","111.507","118.64","221.495","2.55538","32.05","31.655","42.385","5.1281"
"1","102.617","153.56","270.288","-0.00568","9.68523","11.0922","15.8766","1.56075","93.8037","123.037","252.065","2.43593","27.087","33.105","48.795","3.98425"
"1","101.158","149.26","264.042","0.00016","10.2834","10.075","15.8288","1.45081","105.747","101.505","250.55","2.10485","28.6155","27.005","42.995","4.30805"
"1","101.795","150.709","266.177","-0.08186","11.1641","11.443","14.5765","1.52806","124.637","130.943","212.475","2.33497","33.8045","31.5","41.01","3.81935"
"1","100.272","145.754","255.475","-0.01771","9.46939","10.6035","14.0323","1.40009","89.6694","112.435","196.905","1.96026","24.2665","29.825","38.565","4.14615"
"0","93.6643","138.157","244.001","0.00927","6.59863","9.61587","12.4314","3.53284","43.5419","92.465","154.54","12.4809","18.8475","28.985","36.575","10.896"
"1","101.841","154.385","270.682","-0.05605","11.1905","11.2767","16.0946","1.67146","125.226","127.165","259.035","2.79378","36.2465","37.375","50.25","5.1281"
"2","111.35","152.17","269.288","-0.07946","11.7241","14.7096","20.2161","1.29769","137.455","216.372","408.69","1.68399","35.7895","39.51","59.56","4.0515"
"3","135.969","161.193","276.805","0.00088","8.90611","11.3602","14.3595","1.25615","79.3187","129.055","206.195","1.57791","27.93","32.265","49.02","3.8667"
"2","112.034","160.401","283.114","0.02127","11.213","14.3137","22.567","1.56729","125.731","204.883","509.27","2.4564","34.1085","42.87","85.98","4.72035"
"2","110.615","155.835","279.132","-0.02472","11.5462","15.0037","22.2302","1.47219","133.314","225.113","494.18","2.16733","29.9875","54.235","78.35","4.94635"
"1","100.956","147.451","262.263","-0.00988","10.9729","10.4553","13.2866","1.50072","120.404","109.312","176.535","2.25216","37.773","31.275","40.01","4.7005"
"2","112.299","158.86","277.935","0.01536","12.2867","14.3769","21.3477","1.39035","150.962","206.695","455.725","1.93306","33.2685","42.865","64.07","4.2622"
